YYYY	EW(m)	NS(m)	UD(m)
2013.1137	-0.0245	0.0686144	-0.01016
2013.11644	-0.02632	0.0691844	-0.0062
2013.11918	-0.02503	0.0691344	-0.00907
2013.12192	-0.02441	0.0682244	-0.00737
2013.12466	-0.02528	0.0685844	-0.00756
2013.1274	-0.02437	0.0687044	-0.00666
2013.13014	-0.02379	0.0685044	-0.0099
2013.13288	-0.02578	0.0696544	-0.00704
2013.13562	-0.02613	0.0693944	-0.00823
2013.13836	-0.0265	0.0699944	-0.00891
2013.1411	-0.02714	0.0702744	-0.00854
2013.14384	-0.0278	0.0698944	-0.00868
2013.14658	-0.02638	0.0707744	-0.00802
2013.14932	-0.02688	0.0718044	-0.00796
2013.15205	-0.02748	0.0722044	-0.00601
2013.15479	-0.02724	0.0718244	-0.0043
2013.15753	-0.02646	0.0708944	-0.00365
2013.16027	-0.02592	0.0717844	-0.00759
2013.16301	-0.02673	0.0692644	-0.0102
2013.16575	-0.02678	0.0698344	-0.00499
2013.16849	-0.02744	0.0721444	-0.00881
2013.17123	-0.02884	0.0711244	-0.00364
2013.17397	-0.02779	0.0707044	-0.00222
2013.17671	-0.02822	0.0721244	-0.00247
2013.17945	-0.02774	0.0711544	0.00126
2013.18219	-0.02781	0.0699644	0.0039
2013.18493	-0.02737	0.0726244	-0.00339
2013.18767	-0.02749	0.0703544	-0.00398
2013.19041	-0.02713	0.0721244	-0.00945
2013.19315	-0.02687	0.0715544	-0.0089
2013.19589	-0.02779	0.0704344	-0.00768
2013.19863	-0.02747	0.0724944	-0.00937
2013.20137	-0.02777	0.0723344	-0.01042
2013.20411	-0.02741	0.0707244	-0.00574
2013.20685	-0.02677	0.0733744	-0.0002
2013.20959	-0.02638	0.0733244	-0.00235
2013.21233	-0.02557	0.0736144	-0.00708
2013.21507	-0.02779	0.0715344	0.0011
2013.21781	-0.02614	0.0734144	-0.00358
2013.22055	-0.02694	0.0734844	-0.00344
2013.22329	-0.02592	0.0733944	-0.0062
2013.22603	-0.02751	0.0740044	-0.00717
2013.22877	-0.02717	0.0733144	-0.00388
2013.23151	-0.02712	0.0720644	-0.00387
2013.23425	-0.02605	0.0732544	-0.00644
2013.23699	-0.02602	0.0741544	-0.0055
2013.23973	-0.0257	0.0738444	-0.00482
2013.24247	-0.02712	0.0741044	-0.00672
2013.24521	-0.02619	0.0730944	-0.00028
2013.24795	-0.02806	0.0744244	-0.0036
2013.25068	-0.02728	0.0726244	-0.00124
2013.25342	-0.02723	0.0738944	-0.00181
2013.25616	-0.0274	0.0730344	-0.00367
2013.2589	-0.02687	0.0737144	-0.00591
2013.26164	-0.02813	0.0735144	0.00007
2013.26438	-0.02615	0.0730544	0.00092
2013.26712	-0.02754	0.0745644	-0.00667
2013.26986	-0.02803	0.0741044	-0.00296
2013.2726	-0.02849	0.0752344	-0.00333
2013.27534	-0.02759	0.0761044	-0.00545
2013.27808	-0.02745	0.0743744	-0.00051
